Age,Cash,Fixed Income: US,Fixed Income: Developed exUS,Fixed Income: Emerging Markets,Fixed Income: High Yield,TIPS,Commodities,Real Estate,Equities: US Large Cap,Equities: US Small Cap,Equities: Developed exUS,Equities: Emerging Markets
1,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
2,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
3,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
4,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
5,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
6,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
7,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
8,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
9,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
10,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
11,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
12,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
13,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
14,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
15,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
16,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
17,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
18,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
19,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
20,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
21,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
22,0,0.13125,0.03125,0,0,0.13125,0,0.15625,0.15,0.1,0.15,0.15
